%
%
% Run:EXP   Table:LINE1             SWAN version:41.20AB
%
%       Dist          Depth         Hsig          Dir           Dspr          Tm01          Tm02          RTpeak      X-Vel         Y-Vel           Ssurf         Qb            Sfric    
%       [m]           [m]           [m]           [degr]        [degr]        [sec]         [sec]         [sec]         [m/s]         [m/s]         [m2/s]        [ ]           [m2/s]   
%
         357.       21.5000       4.47576       193.755       25.1695        7.4609        6.8172       10.0150      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         360.       21.7000       4.47798       193.807       25.2323        7.4599        6.8169       10.0150      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         363.       21.9000       4.48023       193.859       25.2942        7.4589        6.8167       10.0150      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         367.       22.1000       4.48249       193.910       25.3552        7.4580        6.8165        9.9351      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         370.       22.3000       4.48478       193.961       25.4155        7.4571        6.8164        9.9351      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         373.       22.5000       4.48709       194.011       25.4748        7.4563        6.8163        9.9351      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         377.       22.7000       4.48942       194.060       25.5334        7.4555        6.8163        9.9351      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         380.       22.9000       4.49175       194.110       25.5912        7.4548        6.8163        9.9351      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         383.       23.1000       4.49412       194.158       25.6482        7.4542        6.8164        9.9351      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         387.       23.3000       4.49650       194.206       25.7044        7.4536        6.8165        9.9351      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         390.       23.5000       4.49890       194.254       25.7599        7.4531        6.8166        9.9351      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         393.       23.7000       4.50131       194.301       25.8147        7.4526        6.8168        9.9351      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         397.       23.9000       4.50373       194.347       25.8687        7.4521        6.8170        9.9351      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         400.       24.1000       4.50616       194.393       25.9221        7.4517        6.8173        9.9351      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         403.       24.3000       4.50861       194.439       25.9746        7.4514        6.8176        9.9351      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         407.       24.5000       4.51106       194.484       26.0265        7.4511        6.8179        9.9351      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         410.       24.7000       4.51353       194.528       26.0778        7.4508        6.8182        9.9351      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         413.       24.9000       4.51600       194.572       26.1283        7.4506        6.8186        9.9351      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         417.       25.1000       4.51848       194.616       26.1782        7.4505        6.8191        9.9351      0.000000      0.000000     0.0000000      0.000000     0.0000000 
