%
%
% Run:EXP   Table:LINE1             SWAN version:41.20AB
%
%       Dist          Depth         Hsig          Dir           Dspr          Tm01          Tm02          RTpeak      X-Vel         Y-Vel           Ssurf         Qb       
%       [m]           [m]           [m]           [degr]        [degr]        [sec]         [sec]         [sec]         [m/s]         [m/s]         [m2/s]        [ ]      
%
         313.        6.5596       4.65540       187.550       16.0124        7.9156        7.2135       10.2585      0.000000      0.000000     0.0000000      1.000000 
         317.        6.7663       4.63856       187.680       16.2425        7.9004        7.1973       10.2585      0.000000      0.000000     0.0000000      1.000000 
         320.        6.9789       4.62232       187.812       16.4741        7.8851        7.1813       10.2585      0.000000      0.000000     0.0000000      1.000000 
         323.        7.1987       4.60681       187.947       16.7074        7.8698        7.1654       10.2585      0.000000      0.000000     0.0000000      1.000000 
         327.        7.4246       4.59191       188.082       16.9417        7.8544        7.1496       10.2585      0.000000      0.000000     0.0000000      1.000000 
         330.        7.6568       4.57762       188.220       17.1772        7.8391        7.1340       10.2585      0.000000      0.000000     0.0000000      1.000000 
         333.        7.8968       4.56406       188.360       17.4141        7.8237        7.1186       10.2585      0.000000      0.000000     0.0000000      1.000000 
         337.        8.1433       4.55111       188.501       17.6517        7.8085        7.1034       10.2585      0.000000      0.000000     0.0000000      1.000000 
         340.        8.3966       4.53879       188.644       17.8902        7.7933        7.0884       10.2585      0.000000      0.000000     0.0000000      1.000000 
         343.        8.6583       4.52721       188.789       18.1297        7.7782        7.0737       10.2585      0.000000      0.000000     0.0000000      1.000000 
         347.        8.9270       4.51624       188.935       18.3693        7.7631        7.0592       10.2585      0.000000      0.000000     0.0000000      1.000000 
         350.        9.2030       4.50591       189.084       18.6094        7.7483        7.0451       10.2585      0.000000      0.000000     0.0000000      1.000000 
         353.        9.4880       4.49630       189.233       18.8500        7.7335        7.0312       10.2585      0.000000      0.000000     0.0000000      1.000000 
         357.        9.7805       4.48733       189.384       19.0906        7.7190        7.0176       10.2585      0.000000      0.000000     0.0000000      1.000000 
         360.       10.0807       4.47897       189.537       19.3311        7.7047        7.0044       10.2585      0.000000      0.000000     0.0000000      1.000000 
         363.       10.3906       4.47135       189.691       19.5717        7.6905        6.9916       10.2585      0.000000      0.000000     0.0000000      1.000000 
         367.       10.7086       4.46434       189.846       19.8118        7.6767        6.9791       10.2585      0.000000      0.000000     0.0000000      1.000000 
         370.       11.0348       4.45796       190.003       20.0513        7.6630        6.9670       10.2585      0.000000      0.000000     0.0000000      1.000000 
         373.       11.3712       4.45230       190.160       20.2905        7.6497        6.9553       10.2585      0.000000      0.000000     0.0000000      1.000000 
         377.       11.7163       4.44724       190.319       20.5288        7.6367        6.9440       10.2585      0.000000      0.000000     0.0000000      1.000000 
         380.       12.0701       4.44279       190.479       20.7658        7.6240        6.9331       10.2585      0.000000      0.000000     0.0000000      1.000000 
         383.       12.4348       4.43906       190.639       21.0022        7.6117        6.9228       10.2585      0.000000      0.000000     0.0000000      1.000000 
         387.       12.8086       4.43591       190.800       21.2371        7.5997        6.9128       10.2585      0.000000      0.000000     0.0000000      1.000000 
         390.       13.1916       4.43334       190.962       21.4704        7.5881        6.9033       10.2585      0.000000      0.000000     0.0000000      1.000000 
         393.       13.5862       4.43147       191.125       21.7024        7.5769        6.8943       10.0955      0.000000      0.000000     0.0000000      1.000000 
