%
%
% Run:EXP   Table:LINE1             SWAN version:41.20AB
%
%       Dist          Depth         Hsig          Dir           Dspr          Tm01          Tm02          RTpeak      X-Vel         Y-Vel           Ssurf         Qb       
%       [m]           [m]           [m]           [degr]        [degr]        [sec]         [sec]         [sec]         [m/s]         [m/s]         [m2/s]        [ ]      
%
         527.       39.0364       4.68421       196.742       28.4603        7.4957        6.8871        9.6220      0.000000      0.000000     0.0000000      0.000000 
         530.       39.9175       4.69331       196.835       28.5549        7.5003        6.8923        9.6220      0.000000      0.000000     0.0000000      0.000000 
         533.       40.8099       4.70229       196.925       28.6460        7.5050        6.8975        9.6220      0.000000      0.000000     0.0000000      0.000000 
         537.       41.7113       4.71114       197.013       28.7339        7.5098        6.9027        9.6220      0.000000      0.000000     0.0000000      0.000000 
         540.       42.6212       4.71987       197.098       28.8188        7.5146        6.9079        9.6220      0.000000      0.000000     0.0000000      0.000000 
         543.       43.5414       4.72842       197.180       28.9003        7.5195        6.9132        9.6220      0.000000      0.000000     0.0000000      0.000000 
         547.       44.4693       4.73683       197.260       28.9789        7.5245        6.9184        9.6220      0.000000      0.000000     0.0000000      0.000000 
         550.       45.4049       4.74508       197.337       29.0547        7.5294        6.9235        9.6220      0.000000      0.000000     0.0000000      0.000000 
         553.       46.3492       4.75314       197.411       29.1273        7.5344        6.9287        9.6220      0.000000      0.000000     0.0000000      0.000000 
         557.       47.3002       4.76103       197.483       29.1973        7.5394        6.9338        9.6220      0.000000      0.000000     0.0000000      0.000000 
         560.       48.2575       4.76875       197.553       29.2648        7.5443        6.9388        9.6220      0.000000      0.000000     0.0000000      0.000000 
         563.       49.2220       4.77625       197.619       29.3294        7.5493        6.9438        9.6220      0.000000      0.000000     0.0000000      0.000000 
         567.       50.1920       4.78358       197.684       29.3918        7.5541        6.9487        9.6220      0.000000      0.000000     0.0000000      0.000000 
         570.       51.1669       4.79073       197.746       29.4517        7.5590        6.9535        9.7773      0.000000      0.000000     0.0000000      0.000000 
         573.       52.1474       4.79765       197.806       29.5090        7.5638        6.9583        9.7773      0.000000      0.000000     0.0000000      0.000000 
         577.       53.1319       4.80439       197.864       29.5641        7.5685        6.9629        9.7773      0.000000      0.000000     0.0000000      0.000000 
         580.       54.1199       4.81093       197.920       29.6171        7.5731        6.9675        9.7773      0.000000      0.000000     0.0000000      0.000000 
         583.       55.1117       4.81725       197.973       29.6676        7.5777        6.9719        9.7773      0.000000      0.000000     0.0000000      0.000000 
         587.       56.1061       4.82339       198.025       29.7164        7.5822        6.9763        9.7773      0.000000      0.000000     0.0000000      0.000000 
         590.       57.1025       4.82934       198.074       29.7632        7.5866        6.9805        9.7773      0.000000      0.000000     0.0000000      0.000000 
         593.       58.1008       4.83506       198.122       29.8079        7.5909        6.9847        9.7773      0.000000      0.000000     0.0000000      0.000000 
         597.       59.1001       4.84061       198.168       29.8507        7.5952        6.9887        9.7773      0.000000      0.000000     0.0000000      0.000000 
         600.       60.1000       4.84597       198.212       29.8921        7.5993        6.9926        9.7773      0.000000      0.000000     0.0000000      0.000000 
         603.       61.0999       4.85113       198.254       29.9315        7.6033        6.9964        9.7773      0.000000      0.000000     0.0000000      0.000000 
         607.       62.0992       4.85610       198.295       29.9692        7.6072        7.0001        9.7773      0.000000      0.000000     0.0000000      0.000000 
         610.       63.0975       4.86090       198.334       30.0056        7.6110        7.0037        9.7773      0.000000      0.000000     0.0000000      0.000000 
         613.       64.0939       4.86551       198.371       30.0404        7.6147        7.0072        9.7773      0.000000      0.000000     0.0000000      0.000000 
         617.       65.0883       4.86996       198.407       30.0738        7.6183        7.0105        9.7773      0.000000      0.000000     0.0000000      0.000000 
         620.       66.0801       4.87423       198.442       30.1055        7.6219        7.0138        9.7773      0.000000      0.000000     0.0000000      0.000000 
         623.       67.0681       4.87833       198.475       30.1362        7.6252        7.0169        9.7773      0.000000      0.000000     0.0000000      0.000000 
         627.       68.0526       4.88226       198.507       30.1654        7.6285        7.0199        9.7773      0.000000      0.000000     0.0000000      0.000000 
         630.       69.0331       4.88605       198.538       30.1936        7.6317        7.0229        9.7773      0.000000      0.000000     0.0000000      0.000000 
         633.       70.0080       4.88968       198.567       30.2205        7.6348        7.0257        9.7773      0.000000      0.000000     0.0000000      0.000000 
         637.       70.9780       4.89316       198.595       30.2463        7.6378        7.0284        9.7773      0.000000      0.000000     0.0000000      0.000000 
         640.       71.9425       4.89652       198.623       30.2711        7.6406        7.0310        9.7773      0.000000      0.000000     0.0000000      0.000000 
         643.       72.8998       4.89970       198.648       30.2944        7.6434        7.0336        9.7773      0.000000      0.000000     0.0000000      0.000000 
         647.       73.8508       4.90277       198.673       30.3173        7.6461        7.0360        9.9352      0.000000      0.000000     0.0000000      0.000000 
         650.       74.7951       4.90572       198.698       30.3392        7.6487        7.0383        9.9352      0.000000      0.000000     0.0000000      0.000000 
         653.       75.7306       4.90853       198.720       30.3600        7.6512        7.0406        9.9352      0.000000      0.000000     0.0000000      0.000000 
         657.       76.6586       4.91123       198.743       30.3803        7.6536        7.0427        9.9352      0.000000      0.000000     0.0000000      0.000000 
         660.       77.5787       4.91382       198.764       30.3995        7.6559        7.0448        9.9352      0.000000      0.000000     0.0000000      0.000000 
         663.       78.4887       4.91630       198.785       30.4181        7.6581        7.0468        9.9352      0.000000      0.000000     0.0000000      0.000000 
         667.       79.3901       4.91866       198.804       30.4358        7.6602        7.0487        9.9352      0.000000      0.000000     0.0000000      0.000000 
         670.       80.2825       4.92092       198.823       30.4526        7.6623        7.0506        9.9352      0.000000      0.000000     0.0000000      0.000000 
         673.       81.1636       4.92310       198.842       30.4692        7.6643        7.0523        9.9352      0.000000      0.000000     0.0000000      0.000000 
         677.       82.0351       4.92518       198.859       30.4849        7.6662        7.0540        9.9352      0.000000      0.000000     0.0000000      0.000000 
         680.       82.8968       4.92717       198.876       30.4998        7.6680        7.0557        9.9352      0.000000      0.000000     0.0000000      0.000000 
         683.       83.7462       4.92907       198.892       30.5147        7.6698        7.0572        9.9352      0.000000      0.000000     0.0000000      0.000000 
         687.       84.5853       4.93090       198.908       30.5286        7.6715        7.0587        9.9352      0.000000      0.000000     0.0000000      0.000000 
         690.       85.4138       4.93263       198.923       30.5417        7.6731        7.0602        9.9352      0.000000      0.000000     0.0000000      0.000000 
         693.       86.2291       4.93430       198.937       30.5546        7.6747        7.0616        9.9352      0.000000      0.000000     0.0000000      0.000000 
         697.       87.0335       4.93591       198.952       30.5674        7.6762        7.0629        9.9352      0.000000      0.000000     0.0000000      0.000000 
         700.       87.8268       4.93745       198.965       30.5793        7.6777        7.0642        9.9352      0.000000      0.000000     0.0000000      0.000000 
         703.       88.6062       4.93891       198.978       30.5908        7.6791        7.0654        9.9352      0.000000      0.000000     0.0000000      0.000000 
         707.       89.3743       4.94033       198.991       30.6023        7.6804        7.0666        9.9352      0.000000      0.000000     0.0000000      0.000000 
         710.       90.1308       4.94168       199.003       30.6129        7.6817        7.0677        9.9352      0.000000      0.000000     0.0000000      0.000000 
         713.       90.8730       4.94295       199.014       30.6228        7.6829        7.0688        9.9352      0.000000      0.000000     0.0000000      0.000000 
         717.       91.6035       4.94419       199.025       30.6326        7.6841        7.0698        9.9352      0.000000      0.000000     0.0000000      0.000000 
         720.       92.3223       4.94539       199.036       30.6425        7.6853        7.0708        9.9352      0.000000      0.000000     0.0000000      0.000000 
         723.       93.0264       4.94654       199.047       30.6520        7.6864        7.0718        9.9352      0.000000      0.000000     0.0000000      0.000000 
         727.       93.7187       4.94762       199.057       30.6607        7.6874        7.0727        9.9352      0.000000      0.000000     0.0000000      0.000000 
         730.       94.3990       4.94867       199.067       30.6692        7.6885        7.0736        9.9352      0.000000      0.000000     0.0000000      0.000000 
         733.       95.0647       4.94969       199.077       30.6781        7.6894        7.0745        9.9352      0.000000      0.000000     0.0000000      0.000000 
         737.       95.7185       4.95066       199.086       30.6863        7.6904        7.0753        9.9352      0.000000      0.000000     0.0000000      0.000000 
